年度,問句,問題類別
2026,借還書規則,借還書與流通服務
2026,學位論文比對,學位論文與比對系統
2026,請問本校電子資料庫有無採購Oxford Scholarship Online (OSO)?,電子資源與系統登入
2026,清明連假台北校園圖書館3/31有開嗎？ emba有放假嗎？,開館時間與空間指引
2026,電話,行政庶務
2026,辦理借書證,校外人士與校友服務
2026,借還書規則,借還書與流通服務
2026,辦理借書證,校外人士與校友服務
2026,台北分館電話,行政庶務
2026,一寸照片,其他
2026,申辦一定要照片嗎,其他
2026,台北分館影印,空間與設備
2026,調閱,借還書與流通服務
2026,開館日期及時間,開館時間與空間指引
2026,今天有開嗎？,開館時間與空間指引
2026,所以是可以，但江的學生去銘傳大學借書之後，拿去東吳大學還書這樣子嗎？,借還書與流通服務
2026,我想要問，就是我去銘傳大學借了書之後，可以去東吳大學還書嗎？,借還書與流通服務
2026,hi,客服機機人
2026,校史館開館時間,開館時間與空間指引
2026,館藏查詢,館藏查詢
2026,沒帶學生證可以借書嗎,借還書與流通服務
2026,在架上的書可以調閱嗎,借還書與流通服務
2026,總館借書至台北分校拿書,借還書與流通服務
2026,校友證辦證,校外人士與校友服務
2026,台北分館開放時間,開館時間與空間指引
2026,可以在淡水借書台北領書嗎,借還書與流通服務
2026,論文格式,學位論文與比對系統
2026,校外人士借書,校外人士與校友服務
2026,館內有網路嗎,空間與設備
2026,校外人士可以進去圖書館嗎,校外人士與校友服務
2026,校友可以用hyread,電子資源與系統登入
2026,哪裡可以看到我的借書紀錄,借還書與流通服務
2026,哪裡可以看到我借的書,借還書與流通服務
2026,哪裡能看借書的資訊,借還書與流通服務
2026,春假,開館時間與空間指引
2026,清明連假會開嗎,開館時間與空間指引
2026,請推薦給我有關AI的書單,幫忙找資料
2026,還書,借還書與流通服務
2026,淡江校區有繳費的地方嗎,行政庶務
2026,逾期一天的書能丟進去嗎？罰款怎麼繳納,借還書與流通服務
2026,校史館開館時間,開館時間與空間指引
2026,如何借館藏地在二樓的書,館藏查詢
2026,在閱活區的書可以借嗎,借還書與流通服務
2026,閲活區,空間與設備
2026,自習室開放時間,開館時間與空間指引
2026,借還書規則,借還書與流通服務
2026,論文,學位論文與比對系統
2026,辦理借書證,校外人士與校友服務
2026,借還書規則,借還書與流通服務
2026,借還書規則,借還書與流通服務
2026,哪裏登入,電子資源與系統登入
2026,索書號在哪裡看,館藏查詢
2026,如何查書看有沒有撞書,館藏查詢
2026,課程指定資料查詢與借閱,館藏查詢
2026,我要找書 期末要做報告 盡量深入的,幫忙找資料
2026,我要查看 淡江大學 日 畢業記念冊，要到總館幾樓？,開館時間與空間指引
2026,查看 淡江大學 日 畢業記念冊,館藏查詢
2026,辦理借書證,校外人士與校友服務
2026,討論室預約,空間與設備
2026,辦理借書證,校外人士與校友服務
2026,我想借書,借還書與流通服務
2026,總管哪些樓層有單人座位?,空間與設備
2026,圖書館影音串流平台,電子資源與系統登入
2026,線上電影院,電子資源與系統登入
2026,自習室開放時間,開館時間與空間指引
2026,想找一本書 碳水循環,幫忙找資料
2026,請問彩色列印雙面一張價格,空間與設備
2026,JCR,幫忙找資料
2026,沒有收到Turnitin的註冊信,學位論文與比對系統
2026,they are excellent amd nice to me,客服機機人
2026,okay fine.so i really want to tell toy is...,客服機機人
2026,my word's didn't over fifty word!,客服機機人
2026,i don't understand what you are saying,客服機機人
2026,can you speak english?,客服機機人
2026,hello,客服機機人
2026,推薦購書,資源推薦購買
2026,推薦購書,資源推薦購買
2026,有自動借書機嗎,空間與設備
2026,200類,館藏查詢
2026,U201位置,館藏查詢
2026,宗教類的書在幾樓,館藏查詢
2026,學生證能借書嗎,借還書與流通服務
2026,續借書籍,借還書與流通服務
2026,學位論文提交,學位論文與比對系統
2026,學位論文比對,學位論文與比對系統
2026,自助預約取書,借還書與流通服務
2026,借閱總館2樓預約書區書籍,借還書與流通服務
2026,預約書區,借還書與流通服務
2026,自助預約取書,借還書與流通服務
2026,館藏狀態為不可獲得,館藏查詢
2026,問題反映,行政庶務
2026,狀態是傳送中,館藏查詢
2026,館藏狀態為不可獲得,館藏查詢
2026,書的狀態在傳送中是什麼意思,館藏查詢
2026,討論室音量過大,空間與設備
2026,自助借書機位置,空間與設備
2026,怎麼借書,借還書與流通服務
2026,怎麼借書,借還書與流通服務
2026,借還書規則,借還書與流通服務
2026,圖書館的書可以借幾天,借還書與流通服務
2026,怎麼還書,借還書與流通服務
